Kraj - kód,Kraj - názov,Okres - kód,Okres - názov,Obec - kód,Obec - názov,Základná sídelná jednotka - kód,Základná sídelná jednotka - názov,Miesto trvalého pobytu alebo obvyklého bydliska - zhodné s trvalým pobytom,Miesto trvalého pobytu alebo obvyklého bydliska - inde v SR,Miesto trvalého pobytu alebo obvyklého bydliska - v zahraničí,Spolu,ObjectId
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2040640,Hradný svah,192,4,12,208,1
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2040720,Lýceum,1849,32,17,1898,2
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2040810,Pamätník SNP,229,11,3,243,3
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2040990,Bratislava - historické jadro,1258,31,8,1297,4
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041020,Reduta,1626,44,11,1681,5
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041110,Podhradie,340,6,3,349,6
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041290,Park kultúry,44,,,44,7
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041370,Vinárky,797,10,4,811,8
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041450,Bôrik,2135,34,21,2190,9
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041530,Na Hrebienku,2608,55,27,2690,10
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041610,Partizánska,2101,49,17,2167,11
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041700,Slavín,2069,48,22,2139,12
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041880,Štefánka,1170,24,1,1195,13
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2041960,Charitas,745,20,20,785,14
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2042000,Metropol,684,19,4,707,15
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2042180,Rajská ulica,852,19,3,874,16
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2042260,Bezručova ulica,1423,41,9,1473,17
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2042340,Jakubovo námestie,2331,64,23,2418,18
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2042420,Justičný palác,1939,43,14,1996,19
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2044550,Dubová ulica,1592,30,9,1631,20
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2044800,Holý vrch,588,9,8,605,21
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045010,Kalvária,670,13,6,689,22
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045100,Sokolovňa,815,23,5,843,23
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045520,Karpatská ulica,1858,45,12,1915,24
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045610,Banskobystrická ulica,566,18,4,588,25
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045790,Nová scéna,500,12,4,516,26
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045870,Rektorát techniky,69,3,,72,27
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2045950,Avion,2310,54,15,2379,28
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2046090,Vazovova,1104,30,4,1138,29
1,Bratislavský kraj,101,Bratislava I,528595,Bratislava - Staré Mesto,2061300,Žilinská ulica,3012,78,24,3114,30
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2477580,Podunajské Biskupice - západ,4649,82,15,4746,31
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2793740,Hydrostav,275,1,,276,32
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2793820,Medzi jarkami,4065,82,21,4168,33
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2793910,Dolné hony - juh,4826,111,15,4952,34
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2794040,Podunajské Biskupice - centrum,3610,81,18,3709,35
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2794120,Orenburská ulica,2319,23,8,2350,36
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2794210,Lesný hon,316,3,,319,37
1,Bratislavský kraj,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2794630,Kopáč,88,2,1,91,38
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2042510,Koceľova ulica,2021,43,25,2089,39
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2042690,Sídlisko >500 bytov<,2198,38,12,2248,40
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2042770,Zvolenská ulica,3512,75,26,3613,41
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2042850,Ružová dolina,5003,93,25,5121,42
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2043070,Plynárenské závody,191,3,,194,43
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2043150,Pálenisko,350,6,2,358,44
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2043230,Prístav,18,1,,19,45
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2046680,Jelačičova ulica,1949,36,7,1992,46
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2046760,Priemyselný obvod Miletičova,616,5,,621,47
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2046840,Starý Ružinov,4661,120,46,4827,48
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2053460,Trnávka - juh,2946,42,13,3001,49
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2053540,Trnávka - sever,3211,58,19,3288,50
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2053890,Krajná ulica,544,4,3,551,51
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2053970,Ivanská cesta - skleníky,25,,,25,52
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2054010,Pri letisku Ivanka,44,1,,45,53
1,Bratislavský kraj,102,Bratislava II,529320,Bratislava - Ružinov,2054190,Letisko Ivanka,16,,,16,54
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048200,Stará Vajnorská cesta,340,10,3,353,55
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048380,Biely kríž,879,16,5,900,56
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048460,Figaro,243,4,,247,57
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048540,Mladá garda,10,,,10,58
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048620,Teplická ulica,1300,27,13,1340,59
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2048710,Výskumný ústav zváračský,34,,,34,60
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2053620,Jurajov dvor,873,12,4,889,61
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2053710,Medika,72,1,,73,62
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2059580,Staving,3,,,3,63
1,Bratislavský kraj,103,Bratislava III,529346,Bratislava - Nové Mesto,2798380,Sibírska ulica,3656,69,16,3741,64
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2057880,Kopanice,641,3,7,651,65
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2057960,Úžiny,10,,,10,66
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058180,Krasňany - vozovňa,104,,,104,67
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058260,Meopta,2891,58,11,2960,68
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058340,Krasňany,1565,18,8,1591,69
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058420,Rača,2081,23,8,2112,70
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058510,Komisárky,3751,60,27,3838,71
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058690,Stará Rača,1842,20,4,1866,72
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058770,Technomat,42,10,,52,73
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2058930,Mäsokombinát,129,1,,130,74
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2059070,Pri Šajbách,101,1,,102,75
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2059150,Dopravná ulica,1469,29,7,1505,76
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2059230,Zriaďovacia stanica I,19,2,,21,77
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2794710,Sídlisko >Experimentálka<,640,17,5,662,78
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2794800,Horné Šajby,1130,17,,1147,79
1,Bratislavský kraj,103,Bratislava III,529354,Bratislava - Rača,2799270,Barónka,2875,47,6,2928,80
