nazov,okres,typ_zariadenia,detail_url,kategoria,operator,kod,psc,mesto,web,email,telefon,ulica
Ambulantné zdravotnícke zariadenia,Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia.html?page_id=60142,Iné,,,,,,,,
Ambulantné zdravotnícke zariadenia					(5386),Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia.html?page_id=60142,Iné,5386,,,,,,,
Ústavné zdravotnícke zariadenia					(44),Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ustavne-zdravotnicke-zariadenia.html?page_id=60143,Iné,44,,,,,,,
"Ambulancia klinickej psychológie, Mgr. Lucia Pružinská, Bratislava-Staré Mesto, (KleinTherapy s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-klinickej-psychologie-mgr.-lucia-pruzinska-bratislava-stare-mesto-kleintherapy-s.-r.-o..html?page_id=153379,Ambulancia,KleinTherapy s. r. o.,61-56900911-A0001,81104,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (DentLife s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-dentlife-s.-r.-o..html?page_id=153304,Ambulancia,DentLife s. r. o.,61-56240074-A0001,81101,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (EU Trading, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-eu-trading-s.-r.-o..html?page_id=153130,Ambulancia,"EU Trading, s. r. o.",61-53390571-A0001,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia dentálnej hygieny, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-dentalnej-hygieny-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153102,Ambulancia,"Mediconet Slovakia, s. r. o.",61-44441371-A0021,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia klinickej imunológie a alergológie, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-klinickej-imunologie-a-alergologie-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153103,Ambulancia,"Mediconet Slovakia, s. r. o.",61-44441371-A0019,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia klinickej psychológie, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-klinickej-psychologie-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153104,Ambulancia,"Mediconet Slovakia, s. r. o.",61-44441371-A0025,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Dermatovenerologická ambulancia, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/dermatovenerologicka-ambulancia-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153105,Ambulancia,"Mediconet Slovakia, s. r. o.",61-44441371-A0020,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
